Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Inter_Arrival_Time,Flow_Duration,Throughput,Jitter,Label
134.3.231.202,186.176.21.172,12931,210,ICMP,498,0.074137,24.21,20.57,4.53,FTP
55.153.118.191,192.166.90.149,47441,157,TCP,546,0.056698,22.11,24.69,4.57,Normal
16.58.230.76,57.107.185.118,23648,255,ICMP,984,0.003169,17.27,56.98,2.78,ICMP
221.184.125.237,131.141.50.176,45347,244,TCP,650,0.077431,22.64,28.71,1.48,Normal
51.139.149.22,118.183.62.5,22842,135,TCP,725,0.073377,22.07,32.85,0.19,FTP
241.187.199.107,21.102.110.252,30096,341,ICMP,719,0.039868,8.87,81.06,7.47,HTTP
160.121.134.207,215.107.217.133,12998,422,ICMP,592,0.022616,26.09,22.69,8.83,DDoS
85.104.143.72,131.14.9.21,36770,322,TCP,569,0.074106,6.38,89.18,8.21,FTP
155.117.182.83,220.146.135.246,45786,377,ICMP,817,0.052734,23.5,34.77,0.68,FTP
213.109.218.146,204.29.34.102,24421,416,ICMP,326,0.007585,11.25,28.98,0.86,FTP
30.178.226.217,127.151.151.218,47206,102,UDP,941,0.091188,5.87,160.31,4.61,DDoS
115.216.66.150,255.92.206.181,42429,34,ICMP,837,0.010517,10.63,78.74,4.25,HTTP
163.36.233.204,233.167.242.168,43268,194,TCP,127,0.014118,7.09,17.91,9.51,FTP
40.68.83.37,179.230.45.92,13014,367,ICMP,1176,0.012189,9.4,125.11,9.18,Normal
80.116.160.233,212.103.208.114,51544,411,TCP,488,0.080949,29.78,16.39,5.54,Normal
66.251.102.215,194.55.131.53,49827,421,TCP,761,0.017984,5.43,140.15,4.42,DDoS
229.157.159.143,167.49.178.205,50797,196,ICMP,1403,0.016909,17.12,81.95,8.77,Normal
98.205.106.164,86.60.89.190,27123,155,UDP,844,0.086017,15.3,55.16,0.23,FTP
113.27.169.52,214.152.246.208,35125,273,TCP,655,0.002691,6.98,93.84,1.76,HTTP
154.9.206.194,208.26.216.150,38415,359,UDP,144,0.083457,2.32,62.07,4.37,Normal
63.136.69.116,147.184.176.142,4876,74,TCP,484,0.033284,8.77,55.19,4.77,Normal
55.97.80.159,193.210.179.137,4256,214,UDP,959,0.079681,6.82,140.62,1.5,ICMP
198.13.87.57,108.250.50.86,34137,312,TCP,1243,0.092088,27.64,44.97,4.19,Normal
212.70.235.140,252.188.73.236,22335,142,ICMP,1404,0.091151,22.01,63.79,1.0,DDoS
22.71.137.117,56.219.234.42,61321,215,TCP,846,0.031298,3.54,238.98,7.97,HTTP
6.93.36.149,225.184.219.38,45546,184,UDP,253,0.084748,25.88,9.78,2.79,FTP
250.6.109.162,231.125.117.218,10945,32,TCP,502,0.088331,27.85,18.03,9.27,HTTP
168.38.79.177,196.43.54.91,52091,423,UDP,530,0.096357,26.89,19.71,8.81,DDoS
4.29.49.130,90.0.186.213,15192,241,ICMP,1137,0.072506,19.8,57.42,0.38,HTTP
127.185.1.10,49.141.132.72,17421,29,UDP,328,0.077622,29.36,11.17,7.12,DDoS
83.0.117.198,31.186.58.11,29655,371,UDP,518,0.03206,12.33,42.01,1.76,DDoS
205.177.58.161,126.25.111.216,42282,364,UDP,1189,0.088739,3.46,343.64,6.87,FTP
188.132.156.100,140.99.35.248,38368,217,TCP,1137,0.073139,24.58,46.26,9.86,HTTP
70.21.110.63,154.172.198.41,31593,56,TCP,509,0.059342,25.22,20.18,5.7,Normal
86.208.251.218,174.169.126.212,39123,412,UDP,309,0.06701,11.34,27.25,4.57,Normal
1.214.120.247,62.197.233.176,26502,101,TCP,1163,0.082431,15.15,76.77,2.96,DDoS
4.190.50.213,221.74.81.244,65043,149,TCP,337,0.084116,10.48,32.16,7.04,ICMP
119.41.44.85,57.181.198.86,53536,419,TCP,426,0.083933,7.44,57.26,6.49,Normal
207.162.65.252,44.236.203.26,4120,108,ICMP,103,0.093387,3.16,32.59,7.17,DDoS
181.152.204.245,151.98.236.149,10865,288,TCP,1423,0.080001,11.69,121.73,6.48,Normal
208.4.119.73,84.23.167.234,23608,114,TCP,1499,0.033148,17.24,86.95,5.14,ICMP
83.35.49.242,180.7.115.36,39148,78,ICMP,751,0.070104,16.36,45.9,4.24,Normal
242.175.136.226,72.17.74.96,25742,352,TCP,1214,0.094564,27.77,43.72,0.1,Normal
143.5.1.33,138.169.235.198,51967,124,UDP,810,0.089466,29.97,27.03,3.95,ICMP
247.173.127.19,207.222.55.236,62427,361,TCP,1352,0.018571,13.07,103.44,8.18,HTTP
159.0.162.32,206.149.4.246,64354,310,UDP,231,0.097023,11.04,20.92,0.43,ICMP
228.85.222.179,131.202.216.51,64396,48,ICMP,1379,0.053923,24.09,57.24,4.99,HTTP
161.173.161.234,100.41.121.97,42128,259,UDP,136,0.04519,22.02,6.18,3.35,DDoS
225.227.169.99,62.82.17.71,42421,397,TCP,481,0.084867,9.13,52.68,7.77,Normal
42.21.31.24,69.80.181.146,63012,313,ICMP,989,0.043047,19.89,49.72,8.33,Normal
132.221.29.34,38.210.209.125,23325,161,TCP,873,0.004461,16.16,54.02,8.29,ICMP
9.159.96.18,118.25.135.54,19440,86,UDP,991,0.060555,17.56,56.44,5.47,HTTP
234.50.232.152,88.175.63.46,48672,402,ICMP,509,0.070677,28.76,17.7,9.32,DDoS
106.82.112.154,226.71.246.31,24395,358,ICMP,1007,0.051911,2.48,406.05,8.05,HTTP
27.85.7.134,202.140.4.136,12169,359,TCP,1431,0.073426,26.06,54.91,3.95,ICMP
127.254.84.54,179.168.180.227,1043,438,TCP,1275,0.027163,29.58,43.1,3.93,DDoS
91.252.192.187,106.8.9.119,46776,363,ICMP,1166,0.030883,29.65,39.33,6.43,ICMP
96.35.160.177,179.164.103.140,64620,163,ICMP,1429,0.062569,13.57,105.31,9.5,HTTP
99.85.231.185,237.43.170.57,40883,415,ICMP,716,0.082941,27.66,25.89,6.42,FTP
134.253.80.177,246.87.36.175,2863,337,ICMP,1209,0.047396,21.95,55.08,5.14,DDoS
29.60.189.108,238.12.228.106,51181,367,UDP,511,0.013623,12.98,39.37,7.62,Normal
128.59.56.101,132.101.56.117,63848,247,ICMP,998,0.013402,16.35,61.04,9.02,Normal
40.86.16.31,211.183.229.243,41127,252,TCP,962,0.006865,9.45,101.8,4.85,Normal
53.76.210.244,142.10.176.165,54216,247,TCP,1416,0.0101,16.4,86.34,4.58,FTP
92.124.41.160,61.4.130.96,6521,193,ICMP,1210,0.052499,26.21,46.17,0.52,Normal
103.243.168.124,68.190.243.173,50878,328,UDP,1094,0.069976,25.44,43.0,4.16,Normal
222.113.75.84,183.86.244.125,38414,270,UDP,752,0.056766,12.73,59.07,1.37,HTTP
91.105.8.124,172.233.29.8,47319,370,ICMP,601,0.01048,20.69,29.05,1.57,HTTP
11.17.207.9,78.150.182.135,3116,401,ICMP,97,0.02943,15.09,6.43,1.38,FTP
16.98.165.93,14.216.10.156,2616,332,ICMP,393,0.025477,23.02,17.07,8.96,ICMP
203.214.185.198,25.249.217.14,12240,290,UDP,788,0.062371,4.43,177.88,7.85,ICMP
73.44.29.132,240.83.46.142,40537,68,ICMP,441,0.071553,20.43,21.59,9.61,ICMP
106.117.193.240,187.29.4.248,53301,393,ICMP,486,0.002946,21.42,22.69,2.5,DDoS
15.226.218.134,46.76.61.35,51702,388,UDP,1081,0.032799,11.47,94.25,6.0,Normal
237.79.120.204,185.224.25.124,33133,318,UDP,812,0.030311,27.38,29.66,4.41,FTP
157.255.159.246,235.118.119.202,41503,420,TCP,172,0.05192,13.0,13.23,5.72,Normal
131.86.96.208,94.156.193.222,48976,278,TCP,257,0.025572,21.96,11.7,5.02,Normal
247.165.105.207,183.210.136.45,56798,302,UDP,1416,0.045916,15.55,91.06,0.56,HTTP
86.139.226.194,81.148.215.70,42619,148,ICMP,498,0.085674,0.52,957.69,5.49,DDoS
235.123.97.79,245.26.206.92,6339,422,TCP,72,0.03972,23.83,3.02,8.01,FTP
49.79.113.82,122.60.75.250,37779,370,TCP,1484,0.013945,7.19,206.4,7.92,Normal
171.89.243.44,221.160.113.134,24119,332,ICMP,647,0.006421,21.54,30.04,0.79,ICMP
135.108.79.14,84.228.40.249,47244,30,ICMP,222,0.057627,4.27,51.99,2.64,Normal
96.89.205.186,36.226.210.217,35137,263,UDP,1226,0.083039,20.93,58.58,0.96,ICMP
222.216.123.0,160.79.17.27,14426,86,TCP,157,0.013943,1.84,85.33,0.9,FTP
101.224.143.249,182.73.188.239,61596,20,TCP,877,0.039113,5.76,152.26,4.72,ICMP
147.240.85.229,106.95.106.127,60676,399,TCP,643,0.014867,26.09,24.65,2.98,FTP
177.70.199.73,94.7.12.53,39736,180,TCP,823,0.055138,3.7,222.43,9.0,FTP
125.57.185.86,247.242.213.7,21958,50,UDP,947,0.050223,6.06,156.27,2.69,DDoS
106.190.23.0,149.119.109.93,24325,318,TCP,475,0.07756,2.24,212.05,8.14,Normal
124.98.149.234,36.238.17.247,32275,84,TCP,1287,0.014334,29.36,43.84,6.52,FTP
190.242.196.107,241.156.148.2,36750,175,ICMP,947,0.008653,8.78,107.86,0.43,HTTP
146.208.217.121,166.140.191.148,20989,355,UDP,109,0.065483,16.86,6.47,4.01,ICMP
162.181.11.214,231.135.24.209,30178,49,TCP,670,0.054829,22.86,29.31,2.64,FTP
167.206.5.78,242.228.85.67,9817,233,UDP,1388,0.090714,18.65,74.42,1.12,DDoS
74.94.243.134,48.37.104.12,60382,148,UDP,1133,0.082958,23.68,47.85,6.92,HTTP
109.149.43.214,23.48.69.187,2105,319,ICMP,504,0.031232,2.04,247.06,4.86,HTTP
171.223.231.216,61.244.135.98,13364,222,ICMP,429,0.070524,24.05,17.84,0.48,Normal
160.183.11.124,170.30.159.31,58088,47,TCP,358,0.045571,23.73,15.09,7.83,ICMP
131.104.121.8,169.59.208.129,46890,150,ICMP,207,0.09379,28.52,7.26,5.47,Normal
208.31.191.254,229.107.213.240,43594,161,UDP,773,0.016066,18.48,41.83,2.28,Normal
24.59.149.99,44.9.223.113,23437,110,ICMP,260,0.060973,0.99,262.63,10.0,DDoS
79.121.230.185,251.60.209.215,42698,261,ICMP,488,0.007829,20.39,23.93,3.14,HTTP
39.204.243.98,73.131.136.214,25707,108,UDP,217,0.026193,22.32,9.72,6.31,DDoS
236.173.213.140,173.76.139.57,4851,142,ICMP,1027,0.027315,23.63,43.46,9.58,DDoS
5.95.168.124,100.139.67.213,55888,187,UDP,1074,0.012361,2.49,431.33,9.03,FTP
248.55.126.249,94.216.249.44,41391,131,ICMP,226,0.053571,24.25,9.32,1.26,Normal
48.161.155.4,249.116.254.223,41105,397,UDP,549,0.099424,9.4,58.4,5.44,FTP
247.1.145.27,60.184.113.232,30494,72,ICMP,961,0.08627,7.94,121.03,3.97,ICMP
112.125.231.40,198.94.76.126,11440,262,UDP,937,0.002715,20.87,44.9,9.77,Normal
170.22.214.62,40.242.69.196,13854,36,TCP,263,0.019561,17.35,15.16,7.44,DDoS
113.72.166.26,133.79.7.159,22692,292,UDP,528,0.065543,19.44,27.16,4.69,DDoS
41.241.94.7,159.217.65.183,2813,198,ICMP,114,0.065448,21.66,5.26,8.74,Normal
27.184.151.210,203.194.88.43,25257,434,UDP,1118,0.089744,11.59,96.46,7.31,Normal
221.176.209.36,253.135.118.81,57359,242,UDP,1011,0.027541,11.64,86.86,2.4,ICMP
84.228.108.203,254.99.231.84,47792,282,TCP,120,0.05567,10.3,11.65,6.11,HTTP
47.53.114.45,153.141.71.196,15746,418,TCP,553,0.012662,0.16,3456.25,5.38,ICMP
228.183.150.52,138.152.215.170,29686,401,TCP,564,0.063263,9.78,57.67,8.45,DDoS
37.200.234.86,163.177.243.207,24522,315,TCP,776,0.092558,29.06,26.7,7.2,FTP
72.214.154.226,231.216.154.8,52536,176,ICMP,1114,0.042096,10.39,107.22,3.43,DDoS
197.145.88.244,97.71.100.68,17300,231,TCP,1404,0.039484,11.23,125.02,2.63,DDoS
193.33.27.26,18.82.97.29,43533,48,TCP,265,0.015149,27.57,9.61,1.46,DDoS
80.117.71.221,56.10.133.56,33832,345,TCP,1472,0.09729,19.68,74.8,1.57,Normal
163.221.53.104,13.227.206.109,12352,126,UDP,223,0.041708,11.35,19.65,3.64,DDoS
250.72.130.243,171.51.67.136,14869,23,ICMP,1213,0.032675,9.33,130.01,1.81,DDoS
164.189.120.241,7.37.167.204,23740,175,ICMP,1184,0.002573,7.57,156.41,4.39,DDoS
216.15.211.184,48.5.49.161,14064,124,ICMP,244,0.056406,6.46,37.77,0.64,ICMP
169.99.119.131,169.159.82.52,29205,332,TCP,1068,0.08849,11.12,96.04,0.98,FTP
248.78.192.123,232.112.212.214,12559,215,TCP,507,0.07585,20.29,24.99,9.73,FTP
53.169.193.157,45.39.245.32,60195,376,TCP,881,0.073826,26.38,33.4,0.39,Normal
116.235.186.242,46.128.28.93,26729,298,UDP,559,0.056292,26.32,21.24,2.09,DDoS
34.172.6.174,78.206.156.149,56083,365,UDP,162,0.054145,8.32,19.47,0.78,HTTP
161.77.249.36,253.189.22.190,6000,232,TCP,1302,0.059218,11.27,115.53,1.48,FTP
35.237.110.6,106.94.91.92,33314,219,UDP,236,0.052564,17.94,13.15,1.54,FTP
248.216.211.198,242.67.154.126,46040,220,UDP,515,0.062303,21.23,24.26,1.4,ICMP
9.142.94.188,155.166.25.22,19607,293,ICMP,90,0.011273,12.54,7.18,5.11,Normal
42.188.159.46,22.229.172.7,49217,337,UDP,374,0.068663,26.19,14.28,5.57,ICMP
97.65.119.173,110.75.197.105,15989,137,ICMP,779,0.051871,24.64,31.62,2.48,HTTP
209.112.237.168,128.21.132.242,3320,270,ICMP,1275,0.094255,14.6,87.33,2.48,HTTP
178.149.52.199,130.152.175.91,53077,95,UDP,950,0.058798,14.76,64.36,5.57,DDoS
125.176.241.193,213.214.5.113,16410,382,TCP,1325,0.016713,21.42,61.86,4.19,Normal
35.76.75.174,121.139.134.79,34464,426,UDP,434,0.072012,16.42,26.43,8.36,Normal
218.125.35.164,60.176.46.60,23919,268,UDP,477,0.065378,2.78,171.58,1.21,ICMP
13.135.88.34,44.134.83.175,34749,159,UDP,448,0.051528,9.21,48.64,3.47,Normal
189.4.51.97,243.144.12.201,59673,200,ICMP,1039,0.022772,13.33,77.94,9.8,ICMP
122.174.159.117,207.152.67.83,40404,204,ICMP,293,0.010701,3.71,78.98,6.7,DDoS
200.86.223.72,49.24.125.243,5396,407,ICMP,433,0.019372,15.53,27.88,8.14,FTP
210.127.39.16,84.186.18.205,63800,80,ICMP,1047,0.082747,17.79,58.85,7.86,FTP
166.193.249.38,107.51.137.51,43770,182,UDP,674,0.03378,16.13,41.79,7.27,HTTP
183.23.4.107,8.253.208.243,47453,338,TCP,781,0.048369,26.55,29.42,3.18,Normal
92.211.212.220,44.151.206.198,42803,395,UDP,1328,0.055963,15.8,84.05,6.95,ICMP
144.249.222.101,132.97.210.94,25522,168,ICMP,1328,0.005165,26.57,49.98,6.86,HTTP
50.101.221.125,16.80.68.212,49390,271,TCP,780,0.009132,12.12,64.36,8.52,HTTP
1.38.77.228,251.101.231.242,61293,394,ICMP,1011,0.046586,13.93,72.58,1.58,FTP
126.209.47.8,90.195.73.38,53003,218,TCP,813,0.082688,16.07,50.59,4.42,FTP
229.246.248.33,5.58.79.115,35422,288,UDP,177,0.053584,1.77,100.0,9.69,ICMP
223.90.236.199,143.254.153.7,19790,437,UDP,816,0.061306,14.84,54.99,6.64,Normal
1.44.72.164,230.235.228.150,55656,56,UDP,1235,0.027017,11.66,105.92,5.24,HTTP
211.203.69.6,220.98.196.3,42439,292,ICMP,584,0.072776,16.88,34.6,4.17,DDoS
93.117.191.215,75.199.80.75,8996,307,ICMP,1007,0.092023,20.12,50.05,7.4,FTP
21.6.227.253,26.140.238.73,19885,57,ICMP,1152,0.009735,27.45,41.97,6.61,DDoS
228.255.254.149,116.70.71.119,20610,69,ICMP,215,0.020696,26.08,8.24,1.43,DDoS
218.7.221.155,29.5.45.39,3196,272,ICMP,602,0.081757,1.5,401.33,5.96,FTP
184.50.185.57,200.253.219.99,13221,203,TCP,904,0.087769,11.49,78.68,1.42,FTP
222.109.174.91,53.181.209.52,19812,41,ICMP,347,0.091873,24.95,13.91,3.48,ICMP
99.199.125.107,181.255.186.232,21373,159,TCP,1148,0.036261,29.99,38.28,1.12,FTP
77.36.180.137,245.55.109.92,23988,277,TCP,335,0.094369,27.58,12.15,9.87,DDoS
169.90.145.229,98.194.31.228,5853,74,UDP,1206,0.014406,1.49,809.4,4.81,HTTP
183.44.238.168,216.93.206.48,36838,334,ICMP,544,0.009246,0.29,1875.86,7.24,HTTP
197.40.151.205,127.60.53.195,51586,347,UDP,1437,0.094115,12.19,117.88,7.11,FTP
1.178.38.212,11.104.253.159,17696,287,ICMP,87,0.04345,23.08,3.77,1.14,HTTP
91.188.24.57,103.216.79.186,16433,116,ICMP,231,0.077042,16.77,13.77,0.4,Normal
168.43.71.244,36.8.79.28,32192,345,ICMP,1475,0.028084,11.09,133.0,5.22,ICMP
132.244.38.97,255.205.88.56,7387,422,TCP,788,0.077297,23.45,33.6,2.89,HTTP
95.252.68.217,188.57.255.81,60457,99,ICMP,991,0.025331,21.17,46.81,7.19,Normal
103.233.247.116,139.201.40.48,29382,342,UDP,736,0.078778,11.39,64.62,9.73,DDoS
32.111.112.94,17.195.213.77,63434,363,TCP,621,0.058345,22.55,27.54,0.22,ICMP
111.20.69.79,235.96.67.93,52034,319,UDP,228,0.040229,28.62,7.97,0.89,DDoS
70.25.118.209,81.184.177.122,8185,440,UDP,556,0.033839,2.25,247.11,9.42,ICMP
147.53.247.250,166.100.94.243,35783,303,TCP,1456,0.054648,1.43,1018.18,1.64,Normal
43.243.40.246,37.215.246.42,9104,125,UDP,894,0.003024,8.62,103.71,4.64,FTP
44.45.16.121,234.149.58.218,30431,315,UDP,1409,0.011534,15.01,93.87,7.16,ICMP
1.145.112.22,18.217.222.172,53355,31,TCP,925,0.022017,19.67,47.03,5.22,FTP
194.241.107.233,232.15.147.114,30688,225,ICMP,1488,0.004009,24.97,59.59,8.37,Normal
74.78.201.226,52.132.26.165,23978,205,UDP,1342,0.093994,28.02,47.89,7.95,HTTP
160.157.163.79,215.199.215.61,1292,254,UDP,1007,0.09105,27.62,36.46,4.56,FTP
71.142.138.183,166.49.127.235,3105,31,UDP,286,0.093967,1.4,204.29,4.82,DDoS
152.131.36.163,164.102.151.232,50187,203,UDP,264,0.019042,4.61,57.27,6.11,ICMP
188.242.81.111,184.111.88.203,11796,204,ICMP,927,0.017921,7.39,125.44,2.95,HTTP
137.60.19.98,104.184.78.96,2016,207,UDP,85,0.034436,0.86,98.84,4.9,DDoS
40.132.140.37,28.185.0.237,32573,253,TCP,359,0.025537,5.64,63.65,9.07,DDoS
85.55.95.152,28.17.41.174,33710,147,UDP,369,0.055846,11.46,32.2,9.84,ICMP
194.21.65.141,93.106.34.253,19289,409,ICMP,1337,0.067482,13.54,98.74,4.24,ICMP
62.127.235.70,71.63.143.26,63182,325,ICMP,468,0.092679,19.26,24.3,6.78,DDoS
238.111.178.115,11.19.128.228,64802,83,UDP,426,0.096708,26.65,15.98,6.88,FTP
33.217.138.156,13.221.133.249,32665,196,TCP,1472,0.076898,29.76,49.46,2.98,HTTP
135.71.58.144,108.62.172.70,55536,423,ICMP,348,0.086689,23.39,14.88,9.97,DDoS
224.15.100.121,232.82.118.36,44606,265,TCP,874,0.0063,27.22,32.11,7.52,FTP
218.144.48.5,113.222.151.208,42034,75,UDP,961,0.088512,11.42,84.15,8.12,FTP
2.245.58.199,105.189.229.220,3796,131,UDP,1479,0.055501,14.82,99.8,5.19,Normal
150.229.113.200,68.19.240.47,11013,236,TCP,805,0.001491,5.05,159.41,5.86,ICMP
142.150.105.226,170.146.183.237,55452,239,ICMP,767,0.071259,20.95,36.61,3.59,ICMP
77.91.172.153,77.172.88.113,36242,82,UDP,430,0.092516,4.87,88.3,8.67,HTTP
56.194.57.244,249.245.176.22,29119,397,ICMP,1076,0.059198,10.67,100.84,9.8,HTTP
242.3.57.136,38.166.54.166,56880,238,TCP,647,0.088286,2.33,277.68,3.77,HTTP
116.181.73.110,26.169.130.49,48101,146,ICMP,1491,0.036525,3.48,428.45,9.81,Normal
213.125.175.27,94.201.136.42,18107,407,ICMP,1258,0.019744,10.26,122.61,1.49,DDoS
196.89.236.140,37.30.141.197,15229,300,TCP,887,0.009252,23.39,37.92,2.65,ICMP
63.251.235.15,1.21.252.125,54559,203,ICMP,669,0.018796,13.4,49.93,8.22,Normal
244.180.207.15,23.84.193.5,56974,48,TCP,1425,0.058343,11.96,119.15,8.13,DDoS
195.200.8.73,79.7.179.31,15758,367,UDP,351,0.053281,24.04,14.6,9.66,DDoS
14.229.41.174,161.38.109.198,28749,70,ICMP,1140,0.082319,18.19,62.67,2.24,DDoS
19.248.138.150,5.116.208.101,61796,161,TCP,246,0.062138,7.55,32.58,2.52,ICMP
18.95.78.253,223.185.43.26,45093,160,TCP,613,0.03522,27.46,22.32,1.93,Normal
77.250.98.81,90.220.60.51,58142,149,UDP,238,0.005716,6.47,36.79,6.6,Normal
11.74.225.84,183.56.53.185,26146,66,ICMP,210,0.071808,6.82,30.79,7.36,ICMP
13.236.29.241,248.232.89.16,3175,332,TCP,950,0.058621,18.68,50.86,5.81,ICMP
63.250.106.132,175.19.195.118,4150,337,TCP,1261,0.016838,23.23,54.28,8.57,Normal
52.239.123.153,217.15.10.221,27750,111,UDP,1301,0.051958,9.71,133.99,2.13,HTTP
177.164.146.248,63.82.236.70,38700,52,UDP,1117,0.092811,27.4,40.77,2.14,Normal
193.81.9.46,221.125.201.197,42164,283,UDP,735,0.01516,20.96,35.07,9.86,HTTP
244.13.28.42,169.32.16.196,64563,263,UDP,1040,0.064201,21.36,48.69,1.77,ICMP
53.206.53.45,45.228.80.251,24351,358,ICMP,1058,0.00605,5.17,204.64,3.28,FTP
224.103.218.93,95.241.111.83,46620,396,TCP,214,0.098582,21.69,9.87,2.9,FTP
203.21.100.43,217.82.132.252,58676,423,ICMP,642,0.0822,29.22,21.97,0.63,Normal
44.221.12.252,92.115.184.220,38931,232,UDP,787,0.076856,16.65,47.27,5.25,DDoS
145.80.231.77,32.166.19.123,33851,203,UDP,980,0.044989,21.03,46.6,6.41,Normal
62.158.30.204,179.34.164.55,62741,211,ICMP,359,0.085127,7.29,49.25,0.32,DDoS
219.57.22.21,124.15.114.108,35501,175,TCP,1282,0.074284,13.45,95.32,2.76,HTTP
193.94.19.25,1.27.9.150,43848,88,UDP,667,0.034767,26.3,25.36,1.42,DDoS
138.54.215.190,26.249.164.64,6968,396,TCP,128,0.019918,6.85,18.69,2.1,ICMP
147.198.252.141,15.117.2.10,22706,164,UDP,310,0.015965,25.85,11.99,3.4,DDoS
47.219.111.240,56.157.212.127,26303,396,ICMP,983,0.050012,18.09,54.34,4.46,FTP
8.118.217.57,94.73.3.14,16979,151,UDP,1127,0.015973,18.93,59.54,9.85,HTTP
122.144.5.40,135.147.7.140,17493,407,ICMP,568,0.011968,20.9,27.18,3.89,HTTP
41.195.70.102,28.215.35.158,24662,198,TCP,1458,0.018118,3.66,398.36,3.04,Normal
26.110.213.136,59.29.204.146,14429,353,ICMP,874,0.055104,6.62,132.02,7.17,DDoS
70.56.163.138,35.199.0.244,42340,25,ICMP,477,0.036214,7.02,67.95,2.75,Normal
161.80.164.71,102.106.252.243,5712,180,UDP,512,0.055759,8.23,62.21,1.01,FTP
207.6.60.17,210.250.55.103,21886,238,ICMP,508,0.042671,11.36,44.72,6.34,FTP
246.131.71.210,55.141.40.157,34849,364,ICMP,1235,0.010767,17.91,68.96,2.2,Normal
55.120.50.195,185.130.112.117,55517,147,ICMP,883,0.069498,12.23,72.2,7.03,Normal
123.140.64.251,244.7.22.199,26969,229,ICMP,472,0.018333,11.6,40.69,1.22,FTP
110.188.193.118,203.65.43.127,37598,402,UDP,1040,0.049641,7.11,146.27,2.8,ICMP
47.125.114.78,250.22.69.247,3533,32,ICMP,1240,0.032064,17.23,71.97,8.64,DDoS
56.224.58.229,14.232.36.53,27078,386,UDP,1192,0.092832,24.88,47.91,7.92,HTTP
189.120.169.124,29.133.133.229,43357,398,ICMP,408,0.005297,8.92,45.74,2.12,HTTP
78.52.55.163,19.203.244.122,55666,226,TCP,1159,0.04784,1.08,1073.15,8.24,FTP
48.109.163.45,231.15.182.222,53716,406,TCP,1456,0.026351,29.56,49.26,4.61,HTTP
